,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
12,0.449885468,0.288794807,0.300611918,0.101599547,0.030459979,0.066266082,0.115564336,0.191294765,0.285806625,0.216908643,0.184617108,0.068125116,0.389406125,0.238102201,0.144361568,0.142038606,0.184681454,0.16849312,0.181554573,0.118238266,0.287650791,0.367084034,0.115389496,0.156090234,0.198496363,0.463583355,0.13684193,0.063498878,0.140551115,0.743176488,0.127075134,0.101640728
13,0.25739557,0.203925434,0.175036959,0.238039656,0.022401012,0.064211591,0.135940718,0.244877786,0.05547456,0.153750552,0.112576818,0.11585473,0.326499623,0.248368914,0.156840649,0.179483375,0.152866199,0.251559675,0.176748793,0.139350601,0.224184749,0.390416456,0.095272264,0.208240802,0.157964053,0.25363343,0.066718434,0.185401246,0.217802835,0.260347773,0.121059913,0.264274713
14,0.19660395,0.476864534,0.150066813,0.230645459,0.061745129,0.058633443,0.191144792,0.071987759,0.220960966,0.114652129,0.189494229,0.126852774,0.445872891,0.230299212,0.148176581,0.383769311,0.043457149,0.123303055,0.101535333,0.219306127,0.23360674,0.159753624,0.126264199,0.065816207,0.181206595,0.471476964,0.074316931,0.221315208,0.12917986,0.303632906,0.125783378,0.395504548
15,0.115736123,0.184291629,0.218056758,0.390263934,0.0346706,0.113838469,0.378303012,0.137266584,0.093946711,0.180557228,0.19346742,0.085301735,0.193628446,0.277956446,0.102070992,0.447353261,0.163027771,0.148992842,0.144294713,0.135661248,0.439173427,0.329345851,0.176837453,0.125393802,0.208513738,0.226658441,0.08081839,0.116388589,0.133066108,0.525087682,0.193382158,0.058464551
16,0.22860372,0.210309387,0.125433464,0.340432467,0.194534466,0.144004699,0.539313002,0.208519152,0.077375404,0.16000331,0.139753415,0.151560519,0.297934537,0.244708009,0.141993187,0.23636812,0.113072714,0.272902292,0.134515561,0.152813342,0.280552112,0.256129384,0.163315895,0.184153437,0.147356283,0.299877552,0.132287025,0.088995172,0.110125719,0.346622993,0.137052355,0.310068092
17,0.268916954,0.442809814,0.186366601,0.150605682,0.35069643,0.159892266,0.15373172,0.187538368,0.133041719,0.190543173,0.099256435,0.13882825,0.591409219,0.231335408,0.079984596,0.15615434,0.151264702,0.287871082,0.147675328,0.111989011,0.572080983,0.10277273,0.155606773,0.061842232,0.129034981,0.377412263,0.141460856,0.133056333,0.155766683,0.331060666,0.084091962,0.198190893
18,0.170371974,0.457546333,0.069872843,0.133690477,0.108078902,0.148804501,0.245500704,0.167082038,0.14104609,0.146506545,0.143348066,0.074491215,0.6111125,0.212496889,0.169424738,0.154155599,0.131598632,0.184447351,0.195898473,0.20324744,0.282240882,0.192956376,0.34148239,0.190580696,0.211927973,0.265773848,0.10995242,0.118899283,0.188802412,1.91596224,0.18726154,0.278304885
19,0.287906936,0.447671639,0.153097947,0.180978099,0.205775303,0.083709339,0.248748125,0.204625879,0.100817788,0.122483846,0.273395094,0.21890217,0.158614806,0.417979012,0.11622904,0.08482402,0.147946659,0.119915658,0.164074936,0.157551726,0.093952824,0.232678107,0.081904036,0.178853594,0.288038391,0.179437843,0.059135253,0.105515255,0.189358469,0.164421456,0.087584431,0.073854497
20,0.308687045,0.402590828,0.086313208,0.203784992,0.12470185,0.187602073,0.431559575,0.250856042,0.251788104,0.190886212,0.190242909,0.15495537,0.2606384,0.516666239,0.159874902,0.10770855,0.133727353,0.270441886,0.149292235,0.101206572,0.281928534,0.186226005,0.276062794,0.127754049,0.186648975,0.100983838,0.20999372,0.06062591,0.092338194,0.102078628,0.076741097,0.073649241
21,0.22814675,0.204240567,0.25373965,0.134245682,0.092748888,0.181859581,0.390077002,0.123570522,0.124132752,0.193593445,0.103508764,0.089969381,0.497412883,0.336489124,0.06370984,0.162358759,0.167735551,0.212695463,0.094862088,0.296443691,0.282534217,0.373714689,0.169376406,0.064753534,0.296205335,0.145601285,0.244053331,0.079272606,0.099555258,0.447288839,0.11290898,0.307649005
22,0.090913159,0.152717375,0.107581621,0.473096557,0.15286217,0.283706959,0.434823558,0.153644519,0.363033287,0.142948958,0.355377428,0.142859295,0.189280196,0.452611302,0.088895008,0.229611214,0.214387133,0.223534886,0.187174191,0.279004236,0.22342928,0.252457015,0.094602648,0.089307358,0.196683735,0.180662257,0.18375057,0.098378186,0.202236546,0.232399722,0.214654354,0.201644296
23,0.320949415,0.340498771,0.140942204,0.167492928,0.151382959,0.095090716,0.12172302,0.176003837,0.285404669,0.295156139,0.091637448,0.098681583,0.225590464,0.453427768,0.196269668,0.211962591,0.300114527,0.094124837,0.124873927,0.145753791,0.31287217,0.312978593,0.073061797,0.08672674,0.099790085,0.263576468,0.086019195,0.148355888,0.096104335,0.240604614,0.164325795,0.096956346
24,0.14205218,0.275869821,0.18399174,0.251133114,0.12473367,0.07508748,0.321924432,0.21419309,0.240594496,0.349052152,0.229486232,0.065750905,0.430563466,0.559152195,0.189907884,0.203754193,0.214901235,0.099299134,0.079875979,0.126351577,0.331548474,0.320409606,0.16280525,0.156241983,0.182067656,0.32188651,0.142814421,0.158641871,0.101234019,0.210354554,0.106110399,0.164207674
25,0.321577868,0.231576636,0.256398196,0.168876193,0.15865533,0.082122362,0.589397662,0.068867563,0.122827011,0.393953964,0.092213334,0.15145716,0.295328199,0.468476869,0.213475176,0.229752026,0.184488491,0.241557973,0.135138122,0.450882261,0.384402929,0.306049804,0.326171287,0.06153575,0.310819867,0.247782885,0.238731467,0.116768041,0.227609851,0.217891133,0.090096295,0.042649402
26,0.164310794,0.319145411,0.190330223,0.242326672,0.16646721,0.125265265,0.211677596,0.194971825,0.07939205,0.235076981,0.126155539,0.258471133,0.294956075,0.649136282,0.129773937,0.336073913,0.090741134,0.083941686,0.04654243,0.241093942,0.472560198,0.516700587,0.08396925,0.396268339,0.133541846,0.297527759,0.211153929,0.101085046,0.074561451,0.368385256,0.147126628,0.155687971
27,0.204093826,0.202966554,0.389089284,0.153849045,0.156403964,0.095059427,0.354063666,0.129815917,0.200277674,0.486075129,0.069652166,0.083658054,0.497165403,0.083173678,0.145524625,0.428810934,0.222232872,0.108409105,0.054517423,0.176940274,0.307029435,0.284264465,0.097395816,0.117073274,0.188531728,0.324968716,0.166298347,0.089703748,0.150919677,0.407327104,0.137664074,0.136945883
28,0.201798099,0.335601366,0.222828889,0.237971576,0.275094714,0.041612616,0.191362594,0.104548549,0.146233722,0.210863538,0.141172458,0.245373113,0.500446817,0.218552214,0.132876098,0.154550016,0.339009346,0.196070916,0.094557605,0.283977265,0.296987708,0.469313366,0.164425106,0.148562905,0.141774967,0.274672611,0.099554154,0.086911105,0.174237744,0.205536842,0.163516773,0.202735909
29,0.158355472,0.173695526,0.282778417,0.322141141,0.099613333,0.105089809,0.28917349,0.102756868,0.158434014,0.438111783,0.09776501,0.147518069,0.377494325,0.332547282,0.203163557,0.544227079,0.269369521,0.234890869,0.138022952,0.149024215,0.298011638,0.211763214,0.245064762,0.156660433,0.254025311,0.34686855,0.107928705,0.087833001,0.143347869,0.578066387,0.146368552,0.131046949
30,0.080438366,0.308960897,0.157633672,0.245422493,0.098695846,0.145158551,0.472303264,0.052589273,0.245388662,0.395445733,0.168889128,0.155467824,0.265412515,0.32604158,0.251844083,0.106120909,0.264877878,0.162747788,0.058963109,0.196490836,0.370750262,0.404361972,0.102501855,0.119780727,0.105729878,0.2144908,0.166139316,0.136465815,0.227253734,0.410978177,0.088018453,0.180081702
