"","map_id","subject_id","real_score","best_score","err_ratio","order_1_to_30","block_1_to_5"
"262",22,9,7733.85966026335,6778,0.141023850732274,11,1
"263",23,9,9329.22183302063,7520,0.24058800971019,28,1
"264",24,9,7612.67137907085,6780,0.122812887768563,23,1
"265",25,9,9235.63771835224,7378,0.251780661202527,24,1
"266",26,9,8868.7515707758,6960,0.274245915341351,17,1
"267",27,9,8503.80893666351,7159,0.187848713041418,6,1
"268",28,9,9373.10070411208,7292,0.285395049933089,20,1
"269",29,9,8851.97910282896,7397,0.196698540331075,5,1
"270",30,9,8048.00377303431,7311,0.10080751922231,16,1
"271",1,10,8869.3637656549,7646,0.160000492499987,22,1
"272",2,10,7552.81502696796,6476,0.166277799099438,5,1
"273",3,10,8153.32739699914,7172,0.136827579057326,21,1
"274",4,10,8972.05315966711,7028,0.276615418279327,3,1
"275",5,10,9168.29201588639,6999,0.309943137003342,9,1
"276",6,10,8313.58910019307,6866,0.210834415990834,2,1
"277",7,10,10757.5464946214,7239,0.486054219453162,20,1
"278",8,10,7963.93370854894,7095,0.122471276751084,11,1
"279",9,10,8626.17286191531,7026,0.227750193839355,10,1
"280",10,10,8330.21474354381,7208,0.155690169748032,27,1
"281",11,10,8075.21634425948,6836,0.181277990675758,4,1
"282",12,10,9928.43185446535,7115,0.395422607795552,19,1
"283",13,10,8078.41399873268,7002,0.153729505674476,13,1
"284",14,10,8535.98059685265,7658,0.114648811289195,14,1
"285",15,10,8563.73195739621,7254,0.180553068292833,15,1
"286",16,10,9822.94287548727,7047,0.393918387326134,1,1
"287",17,10,7688.34237144971,6706,0.146487081934046,29,1
"288",18,10,9033.17392383772,7314,0.235052491637643,17,1
"289",19,10,8268.76579504474,6795,0.216889741728438,8,1
"290",20,10,8294.24492932745,6890,0.203809133429238,24,1
"291",21,10,8353.67253168281,7291,0.145751273032891,30,1
"292",22,10,9967.72272549325,6778,0.470599398862976,25,1
"293",23,10,10814.43151946,7520,0.438089297800525,28,1
"294",24,10,8074.1206843208,6780,0.190873257274454,26,1
"295",25,10,8432.46683781283,7378,0.142920417160861,16,1
"296",26,10,9389.14362862681,6960,0.349014889170519,18,1
"297",27,10,8105.02137368984,7159,0.132144346094404,7,1
"298",28,10,9444.18121424476,7292,0.295142788568946,6,1
"299",29,10,8806.22065523671,7397,0.190512458461093,23,1
"300",30,10,8726.18791428717,7311,0.193569677785141,12,1
"301",1,11,9281.78252156293,7646,0.213939644462848,13,1
"302",2,11,7380.93122293971,6476,0.139736136957954,23,1
"303",3,11,8184.34105281935,7172,0.141151847855458,1,1
"304",4,11,8640.7218352381,7028,0.229470949806218,25,1
"305",5,11,8330.39555774063,6999,0.190226540611605,27,1
"306",6,11,7576.54988537297,6866,0.103488186043252,30,1
"307",7,11,7906.47300537612,7239,0.0922051395739904,19,1
"308",8,11,7646.27583822404,7095,0.0776992020047976,12,1
"309",9,11,8323.01460762859,7026,0.184602136013178,28,1
"310",10,11,8602.39882082522,7208,0.19345155671826,8,1
"311",11,11,7462.32758848208,6836,0.0916219409716319,15,1
"312",12,11,8389.98740422798,7115,0.179197105302597,9,1
"313",13,11,8462.8079995333,7002,0.208627249290674,21,1
"314",14,11,10379.3807960569,7658,0.355364428840022,29,1
"315",15,11,8058.79822414305,7254,0.110945440328515,10,1
"316",16,11,8057.01620341598,7047,0.143325699363698,2,1
"317",17,11,8539.30668491517,6706,0.273383042784846,22,1
"318",18,11,8028.87976797481,7314,0.0977412862968018,16,1
"319",19,11,7403.46981217384,6795,0.0895466978916621,17,1
